Marketing Associate,Blacksmith International,"Salt Lake City, UT 84102 (Central City area)",Full-time,https://www.indeed.com/viewjob?viewtype=embedded&jk=d6186e322138be5b&from=vjs&tk=1f604scg1o2fb801&advn=6029753588297534&adid=368867250&ad=-6NYlbfkN0DLt3K0cH94phfaUMkrgpLFEPGqEawmVVmGt74oHRlZUMXI2PAHkKIxt3eMGsUU8sc8OWREBg1kEUyPWtVtuAp4Gn-HY2KgVEiJoMqGcy54vSicHgEec6DPTPMZlDpLemUqEVvX_HhMzPIEMKR-Lvkz9LbzKGu4PIoN4HFyxPaBrpZIk0OdxK9q8DQ3ULeEzWAICU26CzWN_9Y-0Gso-Oy25NlKpZfzCA3acCobRIFkDdOLmbSY2S-yuqS23C0Qh8g94JkysWKhgmMslJ_0-xUcMHm5oav3oktJInE3mApq7BAq6S2tXLh_-TU4BG-kaeoKYOgmVUixPiHIodF7WtSm51NgAWH32q1pjdpZH-V9aZLg-hBgOqLT2kcRtXBiKHiHcmwsm_pyMoJExGLZXBe1xLmLgVuR6O23EvLeENPJWb2-I9I1QPRqb3PlbI4PDsU%3D&topwindowlocation=%2Fjobs%3Fq%3Dmarketing%26l%3DUtah%26jt%3Dfulltime%26start%3D-10,"Up to $50,000 a year","About Blacksmith International:
Blacksmith International is a global sourcing and manufacturing company that helps turn great products into great brands through intentional innovation, scalable manufacturing, and strategic thinking.
Blacksmith’s clients range from startup entrepreneurs to well-established brands. We help these clients with everything from: designing their product, creating a working sample/prototype, sourcing their product materials, finding them a reliable factory to make their product, and helping them manage the growth of their brand.
Blacksmith’s U.S. headquarters is located in Salt Lake City, UT, but we also have an office near Shanghai. While Blacksmith is a growing international company, we still maintain an entrepreneurial spirit within our team.
Job Description:
The Marketing Associate will collaborate with the marketing director on creating a variety of written and visual content as well as plan and execute lead generation campaigns. The marketing associate will help manage and improve our social media accounts, website traffic, and our overall marketing message. This role will also help maintain our CRM process and work closely with the sales department to meet monthly, quarterly, and yearly revenue goals.
Responsibilities:
· Manage daily administrative tasks to ensure the Marketing department runs smoothly
· Manage social media accounts in-line with our brand story
· Maintain and updating data in our marketing/sales system (CRM)
· Collaborate with the marketing director to create advertising material (e.g. brochures and newsletters)
· Collaborate with marketing director on promotional campaigns
· Keep organized records of marketing metrics and results of past campaigns
· Conduct market research to identify new opportunities
· Gather and analyze consumer behavior data (e.g. web traffic and rankings)
· Create reports on marketing and sales metrics, like conversion rates
· Assist with organizing promotional events (if we ever do those again)
Experience/Qualifications:
· Education: 4-year degree in marketing, communications, or relevant field
· 1-2 years’ experience in marketing-related field
· Understanding of social media marketing tactics
· Working knowledge with CRM programs
· Proficiency with SEO/SEM campaigns
· Possess search engines, web analytics, and business research tools acumen
· Adequate knowledge of data collection methods (polls, focus groups, surveys etc)
· Excellent communication and presentation skills
· Basic knowledge of branding and graphic design principles
· Tech savvy
· Creative thinker
· Data driven
· Team player
Preferred, but not required:
· Adobe creative suite
· Photography/video experience
· Adwords/Facebook PPC ads experience
Perks:
· Startup atmosphere with the potential to advance quickly
· Flexible work from home schedule
Job Location:
Blacksmith’s U.S. headquarters is located in Salt Lake City, UT. While the majority of this position can be done remotely, office visits may be necessary on occasion.
Compensation:
Base Salary (Expected total compensation $40,000-$50,000 dependent on experience level)
Job Type: Full-time
Pay: Up to $50,000.00 per year
Benefits:
Flexible schedule
Paid time off
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Education:
Bachelor's (Preferred)
Experience:
Marketing: 1 year (Preferred)
Work Location:
Multiple locations
Work Remotely:
Yes",14-05-2021,marketing,Utah,fulltime,18 05 2021
Vice President of Marketing,"NexTrust, Inc.","Lindon, UT 84042",Full-time,https://www.indeed.com/viewjob?viewtype=embedded&jk=5ed9eab82bda215d&from=vjs&tk=1f604scg1o2fb801&advn=5343492306405026&adid=367762948&ad=-6NYlbfkN0B6jfFVe2mictqrcZF12MI-W8v6Lk9rx4sXWxRTMvmoe1T-ETP8jsJFm4HLK9AFVtDYrSp2rWpi9ikxBooYnfYU84ga0fwshqRat4sGzVC4MBqwc-S0nEODBAm6tBKzBvcURwXvXMGyqEN-6xIzlGXjhEl93Bm1DC508FI4mZi4DnluOHunITmau6_ZF8zTwCh0SqW1ejKbcFRO71pS7u1SPhVn3aAMREIRnAkt2c9_sDMdRyogHME64GIscWkU9u8fVl5EmM-0xuvIs0YZmwZ_ZTUmzP_hjfJvZb7G9dUSV2sITB9aoiowGP1LkDfgzDVtlYxc0EGUQYSyQFxvT-9mZuKdt4bnN4M1jk5sST7Sm6KLY9ARYY-L-i36prdWAmVEwhdWaowSfFm7vy1QXORSA0Ecl8Yx4i9B-igftwxcQT5Lkg0ESny4LbR-kNuGbWmevYwEeSD20w%3D%3D&topwindowlocation=%2Fjobs%3Fq%3Dmarketing%26l%3DUtah%26jt%3Dfulltime%26start%3D-10%26advn%3D6029753588297534%26vjk%3Dd6186e322138be5b,"$130,000 - $160,000 a year","JOB OPENING
Vice President of Marketing
Candidate must be (or become) a resident of UT, AZ, or GA
COMPANY INFORMATION
NexTrust, Inc. is a leading provider of integrated Billing & Payment solutions for Healthcare and Utility Billers and a preferred Partner for service delivery stakeholders. NexTrust’s mission is to Get Our Customers Paid with the Best Customer Experience.
NexTrust’s innovative services have generated double-digit sales revenue growth every year since establishment in 2002. NexTrust’s services can be viewed online at BillFlash.com and MyProviderLink.com and NexTrust’s Resellers are supported at NexTrust.com.
NexTrust is a privately held corporation headquartered in Park City, Utah with additional offices in Lindon, UT.
OPPORTUNITY
NexTrust has an immediate full-time opening for Vice President of Marketing reporting directly to the President/CEO. This executive VP will create and implement integrated marketing strategies in alignment with overall revenue goals. This VP will own all stages of marketing efforts including strategy, budgeting, forecasting, implementation, management, and performance measurement. This VP will lead our launch efforts for several new services that are now coming out of product development. This VP will advance and innovate our marketing efforts with the most current methods and emerging channels, while ensuring that our foundational efforts continue to thrive. We are a creative, flexible, collaborative team that makes data-driven decisions. You will fit right in if you obsess about fueling our business growth with expertise, creativity, metrics, and results.
POSITION RESPONSIBILITIES
Develop and implement digital marketing strategies, including awareness and demand generation programs across all marketing channels, to support revenue objectives.
Strategize across the acquisition funnel and implement marketing plans to address all phases of the buying cycle.
Lead overall demand generation planning efforts including production of lead generation goals and forecasts, setting/managing budget priorities, and measuring overall results.
Manage a marketing team that handles website development, content development, program management, CRM integration, data analysis, business intelligence, and internal communications.
Lead and coordinate with external consultants on systems and technology such as CRM and MS 365 apps to ensure programs and processes run smoothly across all departments.
Translate strategic initiatives and imperatives into actionable marketing strategy aligned to target metrics.
Foster innovation. Champion new ideas and initiatives, creating an environment that supports innovation.
Collaborate with sales stakeholders to build integrated marketing and communications plans to support the business to increase engagement and ultimately accelerate sales.
Leverage existing and new marketing technologies, to evolve and innovate marketing strategy and tactics, improve efficiency, and increase results.
Develop and execute a multi-channel content strategies and plans, resulting in YOY increases in customer attraction, engagement, nurturing, conversion, and retention.
Develop messaging and content frameworks, aligning content delivery with the broader marketing/business objectives, developing metrics and conducting analysis around content consumption and feeding back into content optimization strategies.
Design and drive comprehensive demand generation strategies integrating and leveraging tactics and tools including search engine marketing, email, webinars, events and social media.
KNOWLEDGE, EXPERIENCE, & QUALIFICATIONS
Bachelor’s degree in Marketing or related field.
5+ years of B2B and B2C marketing experience, preferably in Healthcare, Technology, and/or Merchant Services.
Demonstrated ability to drive and execute successful marketing programs across all marketing channels.
A track record of performance excellence meeting targets and objectives.
Experience managing direct reports and managing through cross-functional teams.
Ability to develop strategies and execute tactics.
Hands-on and entrepreneurial style. Demonstrated willingness to become as involved as needed to drive results and foster like-minded senior managers with similar capabilities.
Strong executive presence, including superior verbal and written communication skills, along with the ability to quickly establish rapport and credibility at all levels within an organization.
Strong problem solving, critical thinking and analytical skills.
Proven ability to take initiative, influence others, and achieve results in a matrixed organization.
Highly organized.
A positive attitude matched with perseverance to achieve desired results.
Strong ability to effectively use a variety of Marketing technologies, organize and manage projects through programs such as MS Planner and Project, and effectively use core MS applications Outlook, Excel, Word, and PowerPoint.
Primary Location: Park City-UT, Lindon-UT, or Remote in Arizona or Georgia
Position: Full-time
Hours: Standard
Travel: 10%
Job Type: Exempt
COMPENSATION AND BENEFITS
Compensation will include a competitive salary plus the opportunity to earn significant bonuses based upon achieving revenue goals. In addition, NexTrust offers excellent health and dental insurance, paid holidays, PTO, and 401k.
HOW TO APPLY
Please apply via the Indeed.com application process.
DISCLAIMER
The above statements are intended to describe the general nature and level of work being performed by people assigned to this position. They are not to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. All personnel may be required to perform duties outside of their normal responsibilities from time to time, as needed.
NexTrust is an Equal Opportunity Employer.
Job Type: Full-time
Pay: $130,000.00 - $160,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Paid time off
Schedule:
8 hour shift
Supplemental Pay:
Bonus pay
Ability to Commute/Relocate:
Lindon, UT 84042 (Required)
Education:
Bachelor's (Preferred)
Experience:
B2B marketing: 3 years (Preferred)
B2C marketing: 3 years (Preferred)
marketing leadership: 5 years (Preferred)
healthcare marketing: 3 years (Preferred)
payment merchant services marketing: 3 years (Preferred)
Work Location:
One location
Company's website:
www.nextrust.com
Company's Facebook page:
https://www.facebook.com/NexTrust-114175120321354
Work Remotely:
Temporarily due to COVID-19
COVID-19 Precaution(s):
Remote interview process",29-04-2021,marketing,Utah,fulltime,18 05 2021
Marketing Manager,Goldfish Swim School-East Salt Lake,Utah,Full-time,https://www.indeed.com/viewjob?viewtype=embedded&jk=85c890a034b1c61f&from=vjs&tk=1f604scg1o2fb801&advn=6159295996818612&adid=368363108&ad=-6NYlbfkN0AQi0Agsa3YI7AokXcoWx2P3-sdWCAEkp7bAwaVhROUAVNMY5VSd78qBiEPe9g5FQvpDK-cprYulP3au4msG9-381MFVxCLVu8b6AJY16bebZxU2JSTy6qdryngR1E0Edz8YIYdpWrask5LVIzzmBPtOoYlySkuYDJKshxMbb5N5ixzIYY7dpUyGZtKbC5sCi-P-x0qXfs6trNbeI5aah97VaZIcGddnRIUxFwtYsKToAGISEPAyl6v5ailuDfIoPkoP28Ua6GdaystI4bL4mTTAk1-ILIh9X7Fc-ZwNPSaWMuF67HzAeYqHE_8-prylc70uPCdZTu40nKSQPFD_J-ZQOwVb469KPxlrw--tqS-qt66vl3oFJ2fBBqPTC11ivZoc7ex_vQ_1GGEo3M4uM8vKBjwWWrTPvBNMYu_4K2DdyiyrQpvI_t--lukGjYfNYw%3D&topwindowlocation=%2Fjobs%3Fq%3Dmarketing%26l%3DUtah%26jt%3Dfulltime%26start%3D-10%26advn%3D5343492306405026%26vjk%3D5ed9eab82bda215d,"From $40,000 a year","Position: Marketing Manager for Goldfish Swim School
Salary: Starting at $40,000
Overview: Goldfish Swim School wants you…but only if you have passion, spirit, and are ready to work! We are growing…quickly…with two new locations opening in Utah in the next 12 months. If you love an amazing brand and a life-saving product, keep reading…this might be your perfect match!
What’s in the job?
OPPORTUNITY. Grow, create, and influence all things marketing for Goldfish Swim School while developing your career in a field that saves lives.
MANAGEMENT.Marketing plans, social media content, events, community outreach, and yourself to positively affect the success of the brand.
IMPACT. Enrollment, brand awareness, lead quality, and conversion to drive the bottom line (and your income!).
What do you need to bring to the table?
· Passion, spirit, creativity, fun
· Effective communication
· Digital expertise
· Social media swagger
· Organizational wizardry
· Masterful self-accountability
· Collaboration and ability to multi-task
· Ready-to-work attitude
· Bachelor’s Degree Desired
One last note: whether you are entry Level or experienced—if your heart is pounding with excitement, we can’t wait to meet you!
This job will require both in-person and remote availability!!
Job Type: Full-time
Pay: From $40,000.00 per year
Benefits:
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Weekends
Application Question(s):
In less than ten words, describe why you want to work for Goldfish Swim School!
Education:
Bachelor's (Preferred)
Experience:
Digital Marketing: 1 year (Preferred)
Marketing: 1 year (Preferred)
Work Location:
Multiple locations
Work Remotely:
No",5/5/2021,marketing,Utah,fulltime,18 05 2021
Communications and Marketing Contractor,EY,United States,Full-time,https://www.indeed.com/viewjob?viewtype=embedded&jk=84334a828593bb94&from=vjs&tk=1f604scg1o2fb801&advn=4872419390326776&adid=311253197&ad=-6NYlbfkN0DY0o1vBkDF7ijZdphmN8ZpJjzNfoJ8hIIfocg_Q3_4rrU9MZaBYUA84jeQrwLirkh28dAasfxgb0e__EMvfgW3u47GtRCZdJOkS6qRU5EmnnC07iG317yqDEXsvOIzdUs1ZSfsGxpeSIL8ojyz2Hg01fQkExuW8Z5LzjdNefozDpgNC4O-SPYJFr6VFK-3nTV4lMMGrlbnSN237w4RNSOAbKHQ3ZrqIGHCd1hjSgosiGVG5wI7VUozn03-yfN3f0WrFj9qyhzaKkek7nvBToRP6vlp9GCRgf4sKK4En9bcMKsVhNxmDQGUJNPC_cTXdfKBI7wDHrm-fV1hgFM4SsmzyqDR3_KfoWlaBOfYBjkQWgPaDx1OdEg3FNlRNlyd8veZa-QdOtY2ywWYnxI7cO9XAVYkTWWqFqwIQTbJuRwBnZjNZsvqvAWh8m4lHvKdwptenphldprFp_1iWZ5IuHiZ5SVQXpfjcDFqAWHqV4WZKndbPPRiK1XaDeasTNE_MLQ0ncT4E91V9ToLSCcFPgRGj5GLl2RPH3DgpZN_TNbDgV_8qe_kQKLCavY2cW6gwLop7QipFboXlFMd_i_HUXKU&topwindowlocation=%2Fjobs%3Fq%3Dmarketing%26l%3DUtah%26jt%3Dfulltime%26start%3D-10%26advn%3D6159295996818612%26vjk%3D85c890a034b1c61f,no info,"We currently have a contract opportunity for a Communications and Marketing Contractor.
Liaising with and interviewing key stakeholders in order to establish and understand content, ensuring stakeholder style and voice is effectively communicated in all writing pieces
Analyzing information and writing appropriate, market relative content specific to audiences
Develop digital content such as web page text and social media posts, blogs, scripts for webcasts, leadership presentations, videos and internal communications
Work with Markets and Brand, Marketing & Communications (BMC) colleagues to bring thought leadership through the approval process and have distributed/promoted internally and externally
Contribute to the development of service descriptors, value propositions developing copy for print and digital media while acting as project manager


Skills
communications
Qualifications
5+ years of marketing or communication experience is required
Excellent writing skills required (Bachelor's degree in English or Journalism preferred)
Understanding of advanced marketing and communication principles with experience with and passion for innovative marketing campaigns, social media, interactive programs, video, etc.
Appreciation for setting goals, measuring and reporting results
Ability to work independently and with virtual teams while managing multiple complex projects and competing priorities
GigNow-2020",4/5/2021,marketing,Utah,fulltime,18 05 2021
Entry Level Marketing and Advertising,Alliance Inc.,"Salt Lake City, UT 84101 (Downtown area)",Full-time,https://www.indeed.com/viewjob?viewtype=embedded&jk=fc48622caa132958&from=vjs&tk=1f604scg1o2fb801&topwindowlocation=%2Fjobs%3Fq%3Dmarketing%26l%3DUtah%26jt%3Dfulltime%26start%3D-10%26vjk%3Dfc48622caa132958,no info,"We are now filling entry-level positions with no experience necessary!
Applicants must be highly motivated, well organized, ambitious, and 'people first' oriented. We are looking to expand our sales and marketing team by finding the right people in all facets of our business while leading to a management opportunity.
We have done marketing and advertising for some of the biggest companies in the area. We conduct the sales, marketing and promotions for those clients while ultimately focusing on increasing their traffic flow and bottom-line sales.
(No Telemarketing, No Graphic Design)
This is a challenging position within a fast-paced environment. The perfect candidate would be a college graduate (or someone seeking a fresh start) looking to work hard at establishing a career in marketing and seeking a management opportunity.
WHAT ARE YOU WAITING FOR??? IT'S TIME TO START YOUR CAREER TODAY!!!
Job Requirements

To apply for either position, you must clearly demonstrate the following qualities:
Great People Skills
Excellent communication and follow through
Ability to work in a high energy environment
Ambition, strong work ethic
A desire to work in a team based environment and contribute as a team player
Ability to take ownership of assigned tasks
Ability to handle multiple priorities
Be a self-starter with strong problem solving abilities
Be a career oriented individual searching for a management opportunity
Must currently live in the area and if offered a position, be able to start within two weeks notice",18-05-2021,marketing,Utah,fulltime,18 05 2021
Marketing & Education Specialist,Advanced Foot & Ankle Center,Utah,Full-time,https://www.indeed.com/viewjob?viewtype=embedded&jk=869e74e68bcfe664&from=vjs&tk=1f604scg1o2fb801&advn=9475969736646040&adid=369066525&ad=-6NYlbfkN0AzT0tGJGDFmnDPqWWGk4-hxqYiFZGk9_x3o7tF4KYGKFdeIYAgpePH1mq6nI6QisI_V9aTwYMgyLo9or5PMZinPikkCdX0x75PGeekkKzDOGmA2bz-e3wgwQf2hjICbgISyL5a3rd9sKeq4HBqtEWMgNB38At0b76y9iW9c10aW7XWVhJg36skB59tcopL4wgWB5IM1Eiirx4LQIgv_B-m7z2jF5LqZnARuKiQv8u2Nuji5qmIxek7nQHDmMIfSKqpYhbgtjKupO-LdvSjPHmH6ib_AukSWkR9L4zvuqtggBkUgWW7tWS498zd0kIqmIvBWggh0io5tCUscrce_HpOcyse5H3VadpazBR2xZNIwVKzUmcfY_tqVF-7HuAjnD1BaEYwwg0QK4PGj5pKh0GqykKrouZ04CRcRB3gv7HzvwrlBj2-aRjKbbfMEhuaahI%3D&topwindowlocation=%2Fjobs%3Fq%3Dmarketing%26l%3DUtah%26jt%3Dfulltime%26start%3D-10%26vjk%3Dfc48622caa132958,"$55,000 - $60,000 a year","The marketing & education specialist is responsible for the relationship building and education of local doctors and entities who are able to support the business to refer patients to us. It will be the marketer’s responsibility to identify opportunities to build relationships with new providers and to expand the referrals coming from current referring providers. Some digital marketing may also be included.
Key responsibilities
(1) Directly supports the clinical manager and director of marketing in defining and identifying target market area(s), participates in setting objectives and forecasts.
(2) Maintains daily/weekly/monthly reports as requested by management
(3) Makes recommendations for new innovative programs that will efficiently increase referrals to the company.
(4) Provides regular performance updates to management to include numbers, opportunities and challenges.
(5) Research competitors and maintains competitive profiles. Provides market intelligence and other feedback to management.
(6) Plans and schedules office visits and other outreach activities in an efficient manner with targeted contacts.
(7) Conducts ongoing research on current and potential referring physicians to determine referrals patterns and opportunities.
(8) Attends meetings as required by management
(9) Works in conjunction with management to create and implement internet presence in the form of blogs, doctor profiles on the company website and others, Facebook, etc.
(10) Works in conjunction with management to define goals and accomplish them as outlined.
(11) Present themselves at all times in a professional and kind manner that represents the company well and builds value in the manner in which the company is perceived by others.
Minimum Requirements
This position requires verifiable, successful completion of a High School diploma or GED equivalent.
Must be self-motivated and proactive
Must be savvy with social media
Must have excellent verbal and written communication skills
Must bring a positive, happy attitude into the workplace
Preferred Qualifications
Associates degree or higher in a related field
One or more years of experience in an outpatient clinic or other healthcare setting
Understanding of Adobe Illustrator, Canva, or similar software illustration programs is a plus
Understanding of podiatry and vascular disease
Experience making boots on the ground outreach visits to doctors’ offices is preferred
Job Type: Full-time
Pay: $55,000.00 - $60,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Health savings account
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Work Location:
Multiple locations
Work Remotely:
No",18-05-2021,marketing,Utah,fulltime,18 05 2021
Studio Copywriter,Adobe,"Lehi, UT 84043",Full-time,https://www.indeed.com/viewjob?viewtype=embedded&jk=78b69533225a6186&from=vjs&tk=1f604scg1o2fb801&topwindowlocation=%2Fjobs%3Fq%3Dmarketing%26l%3DUtah%26jt%3Dfulltime%26start%3D-10%26vjk%3D78b69533225a6186,"$69,300 - $90,000 a year","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Opportunity
Adobe creates a variety of content that ranges from ad campaigns to articles and web experiences. This senior writer would be a seasoned writer and editor who can help elevate our content with compelling stories and big ideas. We need someone who can take a complicated piece of technology or software and make it sound simple and inspiring. And write in a way that is human and emotional.
The senior writer would work with a team of writers and designers, both internally and externally, to create great marketing content, and keep a consistent tone and voice in all writing projects. Not only will this require editing chops, but we also want a great writer who can write conceptual headlines and campaign ideas. This position requires collaboration with a variety of key stakeholders, including creative directors and senior marketers, and we want someone who can present work with an understanding of both creative ideas and strategic reasoning.
What you need to succeed
A love of storytelling and ability to simplify messaging into a story arc.
Skilled at creating conceptual headlines that quickly connect emotionally.
Able to create campaigns and programs that are conceptual and have a creative storyline or idea.
The ability to write content that explains advanced technology in ways that excite and engage marketers, yet maintains the Adobe voice.
Experience working with Creative Directors to refine (and refine, and refine, and refine) headlines and copy.
Excellent communication skills and exceptional attention to detail.
The ability to work as a member of a team and has the focus to prioritize in a fast-paced environment.
A knowledge of the latest Adobe products, solutions, and related technologies.
Experience
A minimum of five years experience as a copywriter at a world-class creative agency, publication, or in-house marketing team.
A talent for articulating new ideas, presenting work, and inspiring other writers.
A crazy obsession with storytelling, writing, and creativity.
A B.A. or B.S. degree.
Pursuant to the Colorado Fair Pay Act, below is a summary of compensation elements for this role at the company if based in Colorado.
Colorado Starting Salary: $69,300 - $90,000
At Adobe, for sales roles starting salaries are expressed as total target compensation (TTC = base + commission), and short-term incentives are in the form of sales commission plans. Non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the Annual Incentive Plan (AIP).
In addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award.",10/5/2021,marketing,Utah,fulltime,18 05 2021
Public Relations Assistant-Entry Level,Alliance Inc.,"Provo, UT 84604",Full-time,https://www.indeed.com/viewjob?viewtype=embedded&jk=3528e768d2f99e0e&from=vjs&tk=1f604scg1o2fb801&topwindowlocation=%2Fjobs%3Fq%3Dmarketing%26l%3DUtah%26jt%3Dfulltime%26start%3D-10%26vjk%3D3528e768d2f99e0e,no info,"We have an immediate need for a Public Relations Assistant to join a rapidly growing team. Our rapidly-growing promotional marketing company, applies a customer-friendly, direct, results-driven approach to marketing research and sales. As a result of proven success and expertise, new clientele is continuously added as we dramatically increase clients' product exposure, sales and brand recognition.

Responsibilities Include:
Managing and executing projects as assigned by the Marketing Manager
Working with the Marketing Manager and key accounts to integrate PR campaigns with customer promotions
Coordinating in-store service events and maintaining successful operation
Building relationships with customers and communicating promotional services
Working with the Marketing Manager to develop and refine measurement strategies for PR campaigns
Development of promotional marketing materials and visual merchandising
Developing and maintaining relationships with suppliers and retail event personnel
Keeping accurate and timely record of event traffic, production, and inventory
Identifying new opportunities and efficiency innovations
Position will be considered for senior campaign management roles based on performance
We Are Looking For

Talented and hardworking individuals who are looking to start their career with a growing company. The ideal candidate will be a self-starter with strong organizational and leadership abilities.

Not sure if you're qualified? Relax! No experience is necessary for the Public Relations and Communications Assistant - Entry Level. Comprehensive training and development is provided to ensure every team member can be successful in a career path with the company. College graduates, interns, and candidates looking for a career change are welcome!

Requirements:
College degree or in the process of completion preferred.
0-2 years’ experience in public relations, communications, marketing, sales OR internship in related field an asset.
Outstanding communication skills, both verbal & written.
Ability to prioritize and work independently with minimal supervision.
Level headed problem solver with a professional, service-oriented attitude
Superb organizational and tracking skills with great attention to detail.
Adaptable, dependable and responsible.
Basic understanding of public relations, communications, and marketing concepts and sales strategy.",9/5/2021,marketing,Utah,fulltime,18 05 2021
Social Video Producer (Full-Time Position),Fusion 360,"Salt Lake City, UT",Full-time,https://www.indeed.com/viewjob?viewtype=embedded&jk=a49f193dfb35c62e&from=vjs&tk=1f604scg1o2fb801&topwindowlocation=%2Fjobs%3Fq%3Dmarketing%26l%3DUtah%26jt%3Dfulltime%26start%3D-10%26vjk%3Da49f193dfb35c62e,no info,"Social Video Producer
CATEGORY: Social Media & Video Production
STATUS: Full-Time Employee
LOCATION: Salt Lake City, Utah Office
DESCRIPTION:
Fusion 360 (www.fusion360studios.com) is on the prowl for a SOCIAL VIDEO PRODUCER to join our award-winning team of digital dragoons. If you know social media like Trump knows a good spray tan, can cook up social videos that are shared faster than a STD at Coachella and you dig digital media, specifically social media and social video production, like a chubby kid digs sweat pants -then this position might fit you like a new pair of skinnys.
These digital story-tellers will assist in brainstorming, writing scripts, producing and posting social videos on client’s owned, earned and paid channels. -Think in Katniss Everdeen in Chucks armed to the teeth with a DSLR and a specced-out Mac Pro. Bonus points if you know the Electric Slide, Macarena or the Moon Walk -Friday afternoons can get a little weird.
ABOUT US:
Fusion 360 is a next-generation boutique shop, serving up more hot digital sustenance than Satan’s Sous Chef. We develop award winning digital strategies for local and regional companies and brands. Not to get all “braggy” on you, but we have won Webbys, Tellys, Communicators, Davys and we are Utah’s ONLY Emmy-Award winning agency, with 3 Emmys and 15 Emmy Nominations.
THINGS WE DIG:
Old-school Beastie Boys Jams.
Having your Social Media game on lock, and no, we’re not talking about just firing off a few weekly posts to your Insta and Snap.
Ability to shoot and edit basic video footage.
Able to thrive in a branded content news room environment and meet deadlines each week.
Being comfortable and having experience on camera, a plus.
Our moms.
Ability to conceptualize and write basic social video scripts.
Proficient juggler (or any circus-like skills).
Experience with additional Adobe CC applications, like In Design, Photoshop and/or After Effects, would be both sick and tight.
Ability to be a digital marketing agency “rock star”, less the attitude and that whole snorting coke off Vegas hookers, thing.
WHAT WE OFFER:
Competitive Salary
Hard-to-understand office British dude.
100% Covered Employee Health Insurance
Steezy office with super chill working atmosphere.
Free drinks and snacks, ping pong and foosball
Opportunity to learn from and work with some of the brightest digital marketing, advertising and brand journalism minds.",25-09-1922,marketing,Utah,fulltime,18 05 2021
Social Media Coordinator (Full-Time Position),Fusion 360,"Salt Lake City, UT",Full-time,https://www.indeed.com/viewjob?viewtype=embedded&jk=5df12a5ccff6d1b1&from=vjs&tk=1f604scg1o2fb801&topwindowlocation=%2Fjobs%3Fq%3Dmarketing%26l%3DUtah%26jt%3Dfulltime%26start%3D-10%26vjk%3D5df12a5ccff6d1b1,no info,"Social Media Coordinator
CATEGORY: Social Media
STATUS: Full-Time Employee
LOCATION: Salt Lake City, Utah Office
DESCRIPTION:
Fusion 360 (www.fusion360studios.com) is on the prowl for a SOCIAL MEDIA COORDINATOR to join our award-winning team of digital dragoons. If you know social media like Trump knows a good spray tan, can cook up social videos that are shared faster than a STD at Coachella and you dig digital media, specifically social media and social video production, like a chubby kid digs sweat pants -then this position might fit you like a new pair of skinnys.
These digital story-tellers will assist in brainstorming, developing social campaigns and initiatives, writing scripts for social videos, producing and posting social videos and other social assets on client’s owned, earned and paid channels. -Think in Katniss Everdeen in Chucks armed to the teeth with a DSLR and a specced-out Mac Pro. Bonus points if you know the Electric Slide, Macarena or the Moon Walk -Friday afternoons can get a little weird.
ABOUT US:
Fusion 360 is a next-generation boutique shop, serving up more hot digital sustenance than Satan’s Sous Chef. We develop award-winning digital strategies for local and regional companies and brands. Not to get all braggy, but we have won Webbys, Tellys, Communicators, Davys and we are Utah’s ONLY Emmy-Award winning agency. True story.
THINGS WE DIG:
Old-school Beastie Boys Jams.
Having your Social Media game on lock, and no, we’re not talking about just firing off a few weekly posts to your Insta and Snap.
Ability to shoot and edit basic video footage.
Able to thrive in a branded content news room environment and meet deadlines each week.
Ability to keep your head on a swivel when you find yourself in a vicious interoffice nerf gun fight.
Being comfortable and having experience on camera, a plus.
Our moms.
Ability to conceptualize and write basic social video scripts.
Proficient juggler (or any circus-like skills).
Experience with additional Adobe CC applications, like In Design, Photoshop and/or After Effects, would be both sick and tight.
Knack for spontaneously singing the U of U fight song, also sick and tight.
Meeting all deadlines.
Ability to be a digital marketing agency “rock star”, less the attitude and that whole snorting coke off Vegas hookers, thing.
WHAT WE OFFER:
Competitive Salary
Hard-to-understand office British dude.
100% Covered Employee Health Insurance
Steezy office with super chill working atmosphere.
Free drinks and snacks, ping pong and foosball
Opportunity to learn from and work with some of the brightest digital marketing, advertising and brand journalism minds.",25-09-1922,marketing,Utah,fulltime,18 05 2021
